1021,9.84,93,310,5.66,100,0,10000,9,0,11,12,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,12,0,11,12,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000
1021,9.84,93,310,5.66,100,0,10000,15,0,11,12,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,18,0,11,12,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000
1021,9.84,93,310,5.66,100,0,10000,21,0,11,12,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000
1021,9.84,93,310,5.66,100,0,10000,0,0,12,12,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000
1021,9.84,93,310,5.66,100,0,10000,3,0,12,12,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000
1021,9.84,93,310,5.66,100,0,10000,6,0,12,12,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,9,0,12,12,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,12,0,12,12,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000
1021,9.84,93,310,5.66,100,0,10000,15,0,12,12,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,18,0,12,12,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000
1021,9.84,93,310,5.66,100,0,10000,21,0,12,12,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000
1021,9.84,93,310,5.66,100,0,10000,0,0,13,12,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000
1021,9.84,93,310,5.66,100,0,10000,3,0,13,12,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000
1021,9.84,93,310,5.66,100,0,10000,6,0,13,12,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,9,0,13,12,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,12,0,13,12,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000
1021,9.84,93,310,5.66,100,0,10000,15,0,13,12,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,18,0,13,12,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000
1021,9.84,93,310,5.66,100,0,10000,21,0,13,12,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000
1021,9.84,93,310,5.66,100,0,10000,0,0,14,12,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000
1021,9.84,93,310,5.66,100,0,10000,3,0,14,12,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000
1021,9.84,93,310,5.66,100,0,10000,6,0,14,12,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,9,0,14,12,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,12,0,14,12,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000
1021,9.84,93,310,5.66,100,0,10000,15,0,14,12,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,18,0,14,12,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000
1021,9.84,93,310,5.66,100,0,10000,21,0,14,12,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000
1021,9.84,93,310,5.66,100,0,10000,0,0,15,12,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000
1021,9.84,93,310,5.66,100,0,10000,3,0,15,12,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000
1021,9.84,93,310,5.66,100,0,10000,6,0,15,12,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,9,0,15,12,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,12,0,15,12,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000
1021,9.84,93,310,5.66,100,0,10000,15,0,15,12,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,18,0,15,12,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000
1021,9.84,93,310,5.66,100,0,10000,21,0,15,12,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000
1021,9.84,93,310,5.66,100,0,10000,0,0,16,12,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000
1021,9.84,93,310,5.66,100,0,10000,3,0,16,12,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000
1021,9.84,93,310,5.66,100,0,10000,6,0,16,12,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000,1019,9.2,64,241,0.85,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,9,0,16,12,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000,1018,10.04,67,220,2.4,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,12,0,16,12,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000,1016,10.18,74,46,0.75,93,0,10000
1021,9.84,93,310,5.66,100,0,10000,15,0,16,12,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000,1021,9.84,93,346,4.67,100,0,10000
1021,9.84,93,310,5.66,100,0,10000,18,0,16,12,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000,1021,9.28,88,5,4.15,97,0,10000
1021,9.84,93,310,5.66,100,0,10000,21,0,16,12,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000,1022,8.46,85,32,3.52,95,0,10000
1021,9.84,93,310,5.66,100,0,10000,0,0,17,12,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000,1021,6.21,71,15,1.71,48,0,10000
1021,9.84,93,310,5.66,100,0,10000,3,0,17,12,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000,1020,7.75,69,337,1.14,75,0,10000
